time,diameter_m,length_km,elevation_m,material,fluid_density_kg_m3,fluid_viscosity_cp,chemical_aggressiveness_index,pressure_upstream_bar,pressure_downstream_bar,temp_upstream_C,temp_downstream_C,flow_inlet_m3_h,flow_outlet_m3_h,leak,leak_position_km
201.00,0.70,38.62,28.00,stainless_s,817.59,4.00,0.31,85.63,74.37,64.02,58.68,2958.75,3034.76,TRUE,45.62
202.00,0.60,49.97,47.00,carbon_steel,848.50,8.70,0.76,78.60,81.70,63.68,58.61,3117.50,2869.06,TRUE,4.34
203.00,0.60,68.51,59.00,carbon_steel,846.23,8.70,0.62,80.50,79.77,59.70,57.00,2984.90,2943.98,FALSE,
204.00,0.80,31.63,18.00,carbon_steel,876.34,10.50,0.77,82.62,70.42,57.48,56.84,2961.47,2906.98,FALSE,
205.00,0.80,68.14,3.00,carbon_steel,803.36,11.90,0.63,83.69,76.14,61.49,55.48,3080.64,2883.59,TRUE,53.90
206.00,0.80,86.17,13.00,carbon_steel,883.79,11.40,0.17,80.50,67.62,61.57,58.92,3020.19,3059.84,FALSE,
207.00,0.30,86.97,77.00,carbon_steel,825.81,8.90,0.81,78.34,70.97,61.08,56.76,3010.04,2900.50,TRUE,22.63
208.00,0.40,57.96,64.00,stainless_s,816.21,4.20,0.86,80.13,82.77,59.55,59.57,2912.21,3034.76,TRUE,31.99
209.00,1.00,29.18,39.00,stainless_s,878.62,4.50,0.33,77.80,70.03,60.15,58.53,2935.67,2974.23,FALSE,
210.00,0.50,64.87,61.00,stainless_s,#NUM!,5.00,0.79,78.34,79.39,59.92,55.68,2891.97,2956.02,FALSE,
211.00,0.90,65.54,24.00,stainless_s,818.91,6.90,0.74,72.97,77.20,62.22,60.98,3122.65,2928.84,TRUE,31.90
212.00,0.40,81.14,36.00,stainless_s,849.25,10.70,0.73,76.31,76.14,61.75,57.62,3043.99,2953.01,TRUE,63.39
213.00,0.40,22.75,18.00,stainless_s,797.48,5.90,0.44,73.30,68.59,61.00,55.25,3000.00,2869.06,TRUE,21.92
214.00,0.40,42.81,-14.00,stainless_s,850.00,4.50,0.19,79.37,79.97,61.93,60.22,2953.23,2940.97,FALSE,
215.00,0.30,69.50,-9.00,carbon_steel,845.47,4.80,0.62,81.79,75.75,60.53,59.66,2961.47,2989.82,FALSE,
216.00,0.60,53.84,-6.00,stainless_s,809.78,8.80,0.75,73.59,76.93,64.22,56.60,2997.49,3042.66,FALSE,
217.00,0.50,32.05,64.00,carbon_steel,823.66,9.60,0.97,83.86,75.50,59.32,58.92,2966.81,2953.01,FALSE,
218.00,0.60,25.04,21.00,stainless_s,823.66,11.30,0.12,80.25,75.00,56.62,57.47,2997.49,3006.12,FALSE,
219.00,0.80,33.48,1.00,stainless_s,906.42,5.50,0.94,85.63,76.27,60.23,56.25,2859.49,3016.41,TRUE,24.76
220.00,1.00,88.38,41.00,carbon_steel,842.40,5.20,0.64,86.13,73.73,61.93,56.25,2989.96,3016.41,FALSE,
221.00,0.80,44.81,67.00,stainless_s,835.12,12.00,0.89,81.79,72.23,57.14,56.51,3080.64,2883.59,TRUE,57.03
222.00,0.90,15.90,70.00,stainless_s,883.79,9.70,0.81,74.60,72.23,55.78,58.45,3027.93,3091.00,FALSE,
223.00,0.60,44.27,76.00,carbon_steel,882.41,3.40,0.15,83.22,69.13,57.37,57.08,3103.64,2953.01,TRUE,49.40
224.00,0.40,74.29,58.00,carbon_steel,844.71,8.60,0.65,80.25,80.40,59.08,59.84,2997.49,2887.07,TRUE,31.03
225.00,0.70,73.37,64.00,stainless_s,902.52,6.60,0.15,82.06,79.03,61.93,57.55,2932.55,2977.31,FALSE,
226.00,0.80,28.55,77.00,stainless_s,827.83,6.50,0.17,76.63,80.63,61.32,60.52,3025.33,2906.98,TRUE,15.20
227.00,0.50,78.01,73.00,stainless_s,855.29,6.40,0.97,88.22,76.01,63.84,55.98,3033.19,3110.89,TRUE,55.75
228.00,0.90,67.39,20.00,carbon_steel,831.62,9.60,0.91,71.78,78.86,60.84,54.76,3070.63,3046.77,FALSE,
229.00,1.00,87.96,80.00,stainless_s,860.75,3.30,0.73,76.63,82.77,55.57,57.00,3061.28,2789.11,TRUE,49.55
230.00,1.00,44.51,-5.00,stainless_s,823.66,5.00,0.20,82.62,81.13,59.47,62.93,2992.47,3079.64,TRUE,10.69
231.00,0.40,92.83,26.00,carbon_steel,860.75,8.10,0.60,76.78,68.59,59.62,59.08,3035.85,3050.99,FALSE,
232.00,0.60,70.54,45.00,stainless_s,835.12,10.30,0.60,72.97,73.07,59.08,61.11,2974.67,2781.39,TRUE,67.95
233.00,0.50,63.07,54.00,carbon_steel,836.80,7.80,0.90,83.22,77.91,57.25,59.32,3067.45,2940.97,TRUE,19.85
234.00,0.70,31.05,-16.00,stainless_s,821.38,6.80,0.89,87.77,67.62,58.51,59.75,2912.21,2919.60,FALSE,
235.00,0.60,98.67,33.00,carbon_steel,829.77,9.00,0.34,80.38,72.94,62.86,57.24,3022.75,2883.59,TRUE,73.01
236.00,0.80,50.35,11.00,carbon_steel,861.56,6.70,0.78,74.37,74.87,62.75,58.15,3064.33,2946.99,TRUE,29.99
237.00,0.70,67.49,-10.00,stainless_s,788.39,9.90,0.51,80.50,69.60,55.34,57.77,2912.21,2996.24,TRUE,62.92
238.00,0.50,16.43,77.00,carbon_steel,853.77,5.60,0.52,83.53,75.38,58.16,57.55,3134.08,2928.84,TRUE,4.37
239.00,0.40,27.49,1.00,stainless_s,858.38,6.70,0.22,79.50,73.21,62.32,60.75,3103.64,2830.67,TRUE,16.40
240.00,0.70,63.40,77.00,carbon_steel,841.62,9.40,0.38,74.37,70.03,55.34,56.76,3017.64,2980.40,FALSE,
241.00,0.70,23.05,27.00,stainless_s,809.78,8.40,0.75,86.70,78.86,56.76,55.68,3147.58,2910.18,TRUE,15.36
242.00,0.90,64.56,77.00,stainless_s,834.27,4.70,0.42,82.91,76.93,59.55,61.84,3002.51,2993.02,FALSE,
243.00,1.00,64.99,76.00,stainless_s,836.80,7.20,0.22,77.66,75.38,61.49,60.32,2950.41,2934.92,FALSE,
244.00,0.70,81.51,3.00,stainless_s,826.83,5.20,0.21,79.50,73.47,59.08,57.47,2891.97,2940.97,FALSE,
245.00,1.00,53.50,10.00,carbon_steel,840.04,7.10,0.25,85.63,76.93,64.93,59.16,3064.33,2940.97,TRUE,36.93
246.00,0.40,80.79,50.00,carbon_steel,832.51,11.00,0.34,78.60,75.13,59.77,61.84,3005.02,2763.43,TRUE,31.60
247.00,0.90,12.23,36.00,carbon_steel,868.38,5.00,0.53,80.50,66.78,62.42,58.61,3117.50,2989.82,TRUE,4.92
248.00,0.40,92.27,-12.00,carbon_steel,885.25,9.70,0.66,75.97,76.14,60.08,62.93,2956.01,2869.06,TRUE,24.01
249.00,1.00,42.91,74.00,stainless_s,803.36,11.40,0.80,78.47,71.78,58.34,57.16,2966.81,3009.50,FALSE,
250.00,0.60,34.45,4.00,stainless_s,867.49,10.60,0.42,83.86,73.73,55.34,56.25,3128.16,2814.83,TRUE,28.43
251.00,1.00,31.69,18.00,stainless_s,857.60,9.60,0.47,74.60,73.99,58.25,60.63,3164.49,3027.20,TRUE,34.89
252.00,0.90,46.12,42.00,carbon_steel,843.17,9.20,0.94,79.12,73.07,61.32,55.58,2922.78,3147.38,TRUE,8.30
253.00,0.90,42.75,29.00,stainless_s,825.81,5.10,0.39,77.66,72.52,58.60,59.49,2979.81,2977.31,FALSE,
254.00,0.70,43.89,53.00,carbon_steel,831.62,4.10,0.35,80.25,76.01,61.08,56.07,2935.67,2937.95,FALSE,
255.00,0.90,71.00,68.00,carbon_steel,803.36,8.00,0.65,75.97,72.09,58.76,58.76,3140.51,2974.23,TRUE,40.00
256.00,0.50,97.84,17.00,stainless_s,875.25,10.50,0.24,75.03,79.39,58.92,59.24,3070.63,2934.92,TRUE,129.55
257.00,0.50,28.01,-7.00,stainless_s,871.19,8.70,0.90,82.77,70.23,57.58,58.15,2994.98,2946.99,FALSE,
258.00,0.50,21.20,-6.00,stainless_s,882.41,8.60,0.42,80.25,69.82,60.61,55.88,3122.65,2974.23,TRUE,2.30
259.00,0.60,45.77,62.00,carbon_steel,882.41,10.50,0.96,77.09,68.59,62.02,58.68,2941.72,3147.38,TRUE,19.12
260.00,1.00,68.23,48.00,carbon_steel,886.80,10.50,0.78,76.94,71.14,62.98,60.75,3117.50,3012.93,TRUE,56.31
261.00,0.40,65.88,63.00,stainless_s,800.65,3.00,0.66,80.88,72.52,57.48,57.08,2961.47,3023.54,FALSE,
262.00,0.30,13.36,11.00,carbon_steel,817.59,11.20,0.86,83.37,76.93,57.78,59.57,2852.42,3136.57,TRUE,1.45
263.00,0.90,66.57,8.00,carbon_steel,797.48,4.90,0.91,84.39,77.77,56.76,56.92,2938.72,2900.50,FALSE,
264.00,0.70,65.76,70.00,stainless_s,845.47,5.80,0.74,74.13,73.86,55.57,58.08,3061.28,3097.18,FALSE,
265.00,0.50,50.20,60.00,stainless_s,825.81,3.60,0.60,72.23,73.86,60.15,58.61,3128.16,3006.12,TRUE,11.05
266.00,1.00,84.35,56.00,carbon_steel,877.46,3.10,0.27,85.40,76.66,60.30,59.16,3015.10,2814.83,TRUE,88.05
267.00,1.00,65.01,78.00,stainless_s,875.25,9.10,0.45,81.27,72.09,60.61,56.51,2835.51,2853.23,FALSE,
268.00,0.30,20.46,67.00,stainless_s,823.66,4.90,0.79,75.79,73.60,55.34,58.53,3049.59,2830.67,TRUE,15.13
269.00,0.70,86.35,61.00,stainless_s,919.79,11.10,0.42,88.22,70.79,59.62,60.98,2997.49,3027.20,FALSE,
270.00,0.60,46.08,42.00,carbon_steel,826.83,11.60,0.31,78.60,70.23,59.24,57.39,2984.90,2869.06,TRUE,9.22
271.00,0.30,83.16,75.00,carbon_steel,869.30,11.40,0.80,86.70,80.87,59.85,60.52,3043.99,3097.18,FALSE,
272.00,0.60,48.72,37.00,carbon_steel,882.41,6.60,0.71,81.93,77.62,56.32,61.84,2977.25,3055.35,TRUE,24.47
273.00,0.90,82.93,58.00,stainless_s,837.63,6.10,0.97,79.75,77.34,62.02,61.38,2956.01,2857.34,TRUE,91.32
274.00,0.40,49.29,-4.00,carbon_steel,869.30,4.70,0.88,79.12,75.25,56.76,53.98,2950.41,2887.07,FALSE,
275.00,0.30,20.22,68.00,stainless_s,847.74,6.00,0.90,80.50,66.78,61.40,54.32,3033.19,3097.18,FALSE,
276.00,0.60,77.21,50.00,stainless_s,826.83,11.30,0.81,81.40,82.03,57.78,57.62,2922.78,2814.83,TRUE,37.58
277.00,0.70,91.64,-7.00,stainless_s,842.40,10.90,0.96,78.47,73.86,61.66,54.76,3052.44,2893.88,TRUE,35.01
278.00,0.80,53.50,51.00,carbon_steel,888.45,11.60,0.54,85.18,82.38,56.32,58.53,2989.96,2861.34,TRUE,12.85
279.00,0.50,80.79,67.00,stainless_s,825.81,12.00,0.33,77.52,75.25,55.98,61.11,2961.47,3002.79,FALSE,
280.00,0.90,87.44,-3.00,carbon_steel,878.62,12.00,0.98,82.20,80.40,64.02,60.12,3020.19,2989.82,FALSE,
281.00,0.60,28.37,31.00,stainless_s,823.66,3.00,0.67,74.60,73.73,57.88,58.45,2956.01,2869.06,TRUE,1.26
282.00,0.70,89.58,-14.00,stainless_s,830.70,7.60,0.57,76.47,81.41,55.78,62.02,3012.57,2910.18,TRUE,28.74
283.00,0.40,18.18,2.00,stainless_s,841.62,5.40,0.80,82.62,75.38,59.85,57.92,2926.12,3055.35,TRUE,2.54
284.00,1.00,79.29,2.00,carbon_steel,883.79,3.10,0.23,80.88,82.38,60.68,56.51,3007.53,3118.61,TRUE,100.90
285.00,1.00,71.45,-19.00,carbon_steel,838.44,4.50,0.73,81.40,73.86,57.68,58.38,3012.57,2802.82,TRUE,17.16
286.00,0.70,97.77,-1.00,stainless_s,827.83,9.70,0.41,78.73,76.40,57.58,54.62,2891.97,2796.21,TRUE,12.71
287.00,0.70,84.88,18.00,stainless_s,780.21,4.50,0.99,87.38,75.63,55.07,53.07,3064.33,3034.76,FALSE,
288.00,0.80,19.43,45.00,stainless_s,854.53,11.00,0.18,80.50,80.40,57.88,58.30,3022.75,2940.97,TRUE,8.12
289.00,0.30,26.34,41.00,stainless_s,879.83,12.00,0.35,81.40,75.38,62.52,56.34,3030.55,3030.94,FALSE,
290.00,0.90,33.68,-19.00,stainless_s,803.36,3.50,0.94,79.62,80.18,60.76,56.68,3007.53,3027.20,FALSE,
291.00,0.40,87.15,-4.00,stainless_s,793.58,10.10,0.96,78.86,69.82,61.08,54.16,2958.75,3127.09,TRUE,36.41
292.00,0.80,18.84,50.00,carbon_steel,864.88,10.70,0.30,84.21,81.70,63.38,60.12,2859.49,3059.84,TRUE,16.45
293.00,0.80,90.57,15.00,stainless_s,793.58,3.60,0.28,83.37,76.53,58.07,61.11,2941.72,3069.33,TRUE,137.29
294.00,0.40,28.19,-10.00,carbon_steel,830.70,5.60,0.52,83.69,69.60,58.16,58.45,2992.47,2772.91,TRUE,24.60
295.00,0.40,92.69,72.00,stainless_s,807.85,11.20,0.80,72.97,74.37,62.63,54.76,2887.36,3046.77,TRUE,72.41
296.00,0.40,52.82,60.00,carbon_steel,793.58,11.30,0.46,84.97,81.41,60.00,58.45,2900.55,2925.77,FALSE,
297.00,0.30,90.49,31.00,carbon_steel,850.00,9.80,0.99,77.52,83.22,59.62,57.39,2887.36,2876.46,FALSE,
298.00,0.60,97.69,10.00,carbon_steel,906.42,7.00,0.34,81.40,70.97,58.68,57.70,3002.51,2853.23,TRUE,2.29
299.00,0.40,80.21,9.00,carbon_steel,827.83,7.60,0.24,87.77,78.69,60.08,61.68,2919.36,2809.00,TRUE,13.97
300.00,0.30,59.64,37.00,stainless_s,846.99,6.00,0.36,78.34,72.94,59.92,62.02,3043.99,3009.50,FALSE,
301.00,0.70,16.32,44.00,carbon_steel,850.75,3.70,0.95,80.88,73.73,61.00,59.00,3033.19,3034.76,FALSE,
302.00,1.00,88.80,8.00,carbon_steel,850.75,4.80,0.94,79.37,77.06,62.02,56.51,3041.25,2861.34,TRUE,45.13
303.00,0.60,51.40,10.00,stainless_s,818.91,5.10,0.45,80.00,69.60,60.68,56.25,3015.10,2880.06,TRUE,58.60
304.00,0.80,85.20,9.00,stainless_s,843.17,11.90,0.94,76.14,75.88,59.16,60.75,3058.28,3064.50,FALSE,
305.00,1.00,19.05,5.00,stainless_s,894.27,9.50,0.85,75.23,77.91,60.08,59.32,2989.96,2999.50,FALSE,
306.00,0.50,56.83,-14.00,stainless_s,818.91,9.90,0.67,81.27,69.37,56.32,62.22,2877.35,3069.33,TRUE,82.05
307.00,0.30,90.00,0.00,carbon_steel,854.53,7.80,0.56,75.79,74.37,63.52,53.78,2950.41,2809.00,TRUE,34.38
308.00,0.50,83.36,-10.00,carbon_steel,832.51,10.70,0.60,84.97,75.38,61.00,56.25,3061.28,3091.00,FALSE,
309.00,0.40,26.71,37.00,stainless_s,896.64,4.40,0.65,77.66,74.87,55.07,56.92,3012.57,2965.08,FALSE,
310.00,1.00,35.29,5.00,carbon_steel,825.81,5.50,0.56,84.03,79.97,59.92,61.52,3052.44,3118.61,FALSE,
311.00,0.50,96.33,23.00,carbon_steel,856.06,8.00,0.24,77.38,69.82,64.93,57.92,3140.51,3055.35,TRUE,45.59
312.00,0.60,49.46,49.00,carbon_steel,827.83,6.20,0.43,84.97,72.94,60.76,58.68,2964.15,3085.17,TRUE,48.50
313.00,0.50,11.50,68.00,stainless_s,828.81,10.10,0.79,77.38,69.13,59.92,60.63,3033.19,3038.66,FALSE,
314.00,1.00,74.47,-1.00,stainless_s,822.54,5.10,0.23,71.78,72.38,58.92,61.38,2896.36,3097.18,TRUE,7.41
315.00,0.90,23.80,14.00,stainless_s,885.25,5.60,0.43,77.09,73.34,60.61,60.63,2852.42,3097.18,TRUE,9.94
316.00,1.00,93.47,42.00,stainless_s,864.03,7.00,0.40,80.13,80.87,57.88,60.02,3064.33,3136.57,TRUE,81.56
317.00,0.80,82.50,28.00,stainless_s,832.51,7.70,0.86,87.77,73.47,59.24,58.53,2956.01,2937.95,FALSE,
318.00,0.60,18.45,-8.00,carbon_steel,814.75,5.50,0.85,86.70,81.70,62.75,56.92,2992.47,3079.64,TRUE,14.12
319.00,0.60,98.46,80.00,stainless_s,890.22,9.00,0.30,78.21,73.47,59.77,56.43,2904.58,2974.23,FALSE,
320.00,0.40,23.60,61.00,carbon_steel,872.17,3.60,0.55,79.75,80.18,60.92,56.92,2891.97,3030.94,TRUE,28.92
321.00,0.80,97.56,3.00,carbon_steel,847.74,7.90,0.59,74.37,74.37,58.92,54.48,2877.35,2752.62,TRUE,62.70
322.00,0.40,19.29,35.00,stainless_s,829.77,6.10,0.62,74.13,75.63,62.75,53.78,3155.48,3012.93,TRUE,11.51
323.00,0.70,71.00,28.00,carbon_steel,844.71,6.30,0.15,78.34,70.79,59.85,59.40,2865.92,2825.63,FALSE,
324.00,0.70,76.09,58.00,stainless_s,828.81,10.90,0.17,77.38,74.75,58.76,57.92,2844.52,2876.46,FALSE,
325.00,0.50,76.31,5.00,stainless_s,854.53,10.20,0.29,77.09,71.94,56.89,58.30,3067.45,2883.59,TRUE,9.92
326.00,0.60,63.43,-3.00,carbon_steel,#NUM!,4.50,0.70,78.21,78.53,57.98,59.32,2922.78,2840.16,TRUE,53.61
327.00,0.30,60.81,56.00,carbon_steel,892.15,11.20,0.82,78.21,78.86,59.85,57.77,3025.33,2986.66,FALSE,
328.00,0.70,73.54,6.00,stainless_s,821.38,6.50,0.22,81.79,74.12,62.52,60.22,2877.35,2763.43,TRUE,26.59
329.00,0.30,50.53,6.00,carbon_steel,809.78,3.20,0.12,74.60,72.38,56.62,54.76,3095.42,3009.50,TRUE,4.38
330.00,0.30,11.56,9.00,carbon_steel,857.60,3.10,0.55,81.93,76.40,57.58,55.48,3140.51,2781.39,TRUE,11.51
331.00,0.90,57.18,59.00,stainless_s,835.97,10.50,0.75,74.37,78.37,61.00,61.11,2974.67,2946.99,FALSE,
332.00,0.50,37.10,40.00,carbon_steel,868.38,4.40,0.39,75.61,75.38,64.93,53.57,3108.03,3012.93,TRUE,24.72
333.00,1.00,74.75,4.00,stainless_s,896.64,3.10,1.00,83.22,77.48,59.55,59.84,3108.03,2802.82,TRUE,107.93
334.00,0.80,22.84,44.00,carbon_steel,892.15,9.50,0.94,77.09,78.69,57.78,59.57,3052.44,3110.89,FALSE,
335.00,0.40,58.34,34.00,stainless_s,834.27,5.00,0.29,84.21,80.40,61.00,55.98,3035.85,3079.64,FALSE,
336.00,0.70,93.85,54.00,carbon_steel,869.30,5.70,0.21,80.25,73.73,60.61,56.76,2852.42,3085.17,TRUE,86.72
337.00,0.60,96.96,37.00,carbon_steel,823.66,9.10,0.94,78.21,69.37,62.52,59.84,2964.15,2883.59,TRUE,71.75
338.00,0.30,95.58,80.00,carbon_steel,851.50,9.00,0.22,72.62,79.39,60.30,61.68,3080.64,2752.62,TRUE,14.52
339.00,0.70,59.37,-3.00,stainless_s,822.54,12.00,0.42,88.22,70.79,57.88,58.08,2922.78,3079.64,TRUE,36.78
340.00,0.40,47.96,43.00,carbon_steel,846.99,11.00,0.37,78.21,76.53,61.93,56.25,2953.23,2906.98,FALSE,
341.00,0.90,21.78,67.00,stainless_s,855.29,10.00,0.74,82.20,70.97,56.76,57.00,3077.22,2876.46,TRUE,13.70
342.00,0.50,51.61,41.00,carbon_steel,850.00,8.10,0.44,80.63,74.62,60.45,57.47,3134.08,2959.03,TRUE,20.78
343.00,0.80,97.24,47.00,carbon_steel,825.81,3.80,0.86,86.41,74.87,57.02,54.32,3030.55,2876.46,TRUE,40.62
344.00,0.90,53.71,49.00,stainless_s,853.01,9.10,0.26,75.79,73.86,58.51,61.52,3147.58,3016.41,TRUE,48.46
345.00,0.80,84.84,47.00,carbon_steel,888.45,11.20,0.25,77.52,70.97,63.52,58.84,3017.64,3055.35,FALSE,
346.00,0.30,83.43,23.00,carbon_steel,817.59,5.40,0.49,81.27,73.47,62.52,57.47,2871.84,2937.95,FALSE,
347.00,0.40,21.90,38.00,stainless_s,879.83,4.80,0.73,76.31,77.91,63.24,60.52,2992.47,2830.67,TRUE,13.04
348.00,0.30,54.77,10.00,stainless_s,830.70,7.00,0.69,81.93,73.07,61.93,53.98,2935.67,2940.97,FALSE,
349.00,0.70,13.58,69.00,carbon_steel,855.29,9.50,0.55,79.12,82.77,56.48,60.32,3025.33,2835.50,TRUE,4.27
350.00,0.80,30.70,-15.00,carbon_steel,850.00,7.80,0.35,84.03,77.34,59.47,55.02,2915.84,3110.89,TRUE,13.64
351.00,1.00,51.93,80.00,stainless_s,872.17,8.40,0.62,84.21,73.07,59.55,58.76,2974.67,3038.66,FALSE,
352.00,0.80,45.94,16.00,stainless_s,883.79,5.00,0.42,87.38,82.77,60.45,56.84,3103.64,2959.03,TRUE,2.04
353.00,0.30,95.20,-12.00,stainless_s,780.21,8.70,0.48,82.20,72.80,59.24,57.00,3084.16,3127.09,FALSE,
354.00,0.50,81.52,2.00,stainless_s,861.56,6.60,0.88,81.93,77.34,61.49,56.07,2871.84,2830.67,FALSE,
355.00,1.00,30.79,66.00,stainless_s,869.30,9.80,0.57,77.38,67.97,58.92,58.68,2982.36,2903.76,TRUE,8.20
356.00,0.30,77.14,-5.00,carbon_steel,809.78,6.00,0.59,74.60,79.58,63.11,54.62,3128.16,2781.39,TRUE,63.08
357.00,0.50,90.70,-3.00,carbon_steel,845.47,9.10,0.38,82.48,71.94,63.24,58.84,3005.02,2910.18,TRUE,83.81
358.00,0.80,49.29,17.00,carbon_steel,883.79,5.70,0.58,82.34,76.27,61.93,58.61,2964.15,3038.66,TRUE,11.96
359.00,1.00,51.54,16.00,carbon_steel,850.75,10.00,0.77,79.50,73.34,59.70,54.48,3058.28,3103.79,FALSE,
360.00,0.70,17.02,50.00,carbon_steel,881.09,11.40,0.57,78.99,82.38,57.14,59.32,2852.42,3042.66,TRUE,16.94
361.00,0.60,51.65,75.00,stainless_s,847.74,4.70,0.12,72.97,81.70,58.16,55.48,3103.64,2830.67,TRUE,65.73
362.00,0.30,34.90,79.00,stainless_s,840.04,4.90,0.73,81.79,79.58,59.55,57.39,3164.49,2865.24,TRUE,27.26
363.00,0.90,60.08,53.00,carbon_steel,863.20,7.20,0.90,81.27,69.60,55.98,56.43,3134.08,2809.00,TRUE,0.16
364.00,0.80,92.40,-14.00,stainless_s,871.19,9.40,0.60,81.79,74.87,56.62,60.63,3080.64,2820.36,TRUE,7.32
365.00,0.60,96.56,36.00,stainless_s,868.38,4.00,0.68,83.86,71.31,57.25,57.24,3112.64,2880.06,TRUE,84.26
366.00,0.70,54.14,74.00,stainless_s,906.42,9.60,0.23,80.88,74.37,59.70,61.52,3020.19,2946.99,TRUE,41.42
367.00,0.30,36.51,2.00,carbon_steel,797.48,9.00,0.65,85.40,72.94,63.52,54.16,3005.02,3118.61,TRUE,22.62
368.00,0.50,97.67,-20.00,stainless_s,813.20,6.10,0.66,71.78,82.03,61.49,60.22,2896.36,3079.64,TRUE,37.31
369.00,0.40,41.81,34.00,carbon_steel,877.46,3.20,0.75,74.37,80.87,56.62,62.43,3140.51,2835.50,TRUE,24.95
370.00,1.00,94.80,64.00,stainless_s,829.77,4.90,0.64,79.75,72.80,60.23,60.42,3010.04,3055.35,FALSE,
371.00,0.30,53.12,35.00,stainless_s,820.17,3.30,0.64,81.93,76.27,58.43,53.78,2979.81,2883.59,TRUE,47.93
372.00,0.70,59.80,-15.00,stainless_s,844.71,6.60,0.47,75.03,73.73,61.08,61.11,3155.48,2802.82,TRUE,33.01
373.00,0.30,66.53,14.00,carbon_steel,818.91,7.50,0.82,73.30,79.39,58.25,61.84,2871.84,3069.33,TRUE,96.06
374.00,0.60,48.24,60.00,carbon_steel,870.23,11.00,0.25,82.06,79.21,58.43,62.93,2882.50,2789.11,TRUE,73.13
375.00,0.40,51.22,5.00,carbon_steel,822.54,4.70,0.47,77.38,71.78,55.34,58.61,2958.75,2989.82,FALSE,
376.00,0.30,24.98,56.00,stainless_s,788.39,3.50,0.56,81.40,72.38,56.76,58.84,2900.55,3064.50,TRUE,27.87
377.00,0.50,39.82,56.00,stainless_s,859.96,10.20,0.40,77.09,72.66,63.24,60.98,2919.36,2959.03,FALSE,
378.00,0.70,26.98,46.00,carbon_steel,805.73,5.90,0.70,84.03,79.39,57.58,54.48,3112.64,3055.35,FALSE,
379.00,0.60,85.50,62.00,stainless_s,865.73,9.90,0.61,72.97,78.86,60.30,55.98,3033.19,2943.98,TRUE,56.79
380.00,0.90,81.33,3.00,stainless_s,851.50,5.70,0.90,80.88,80.87,59.70,58.38,2974.67,2983.52,FALSE,
381.00,1.00,72.94,80.00,stainless_s,822.54,4.90,0.49,75.23,73.99,57.14,56.76,3058.28,2980.40,TRUE,34.52
382.00,1.00,43.01,-10.00,carbon_steel,840.84,5.70,0.55,82.20,73.99,61.16,55.37,2953.23,3055.35,TRUE,65.20
383.00,0.50,57.46,76.00,carbon_steel,856.06,8.60,0.21,80.63,76.14,59.85,58.38,2891.97,3050.99,TRUE,57.21
384.00,0.40,57.83,21.00,carbon_steel,841.62,5.60,0.48,76.94,67.62,56.48,59.00,2852.42,2962.05,TRUE,19.64
385.00,0.80,52.14,43.00,stainless_s,882.41,7.80,0.87,87.03,70.97,63.84,56.34,2877.35,2893.88,FALSE,
386.00,0.90,90.42,54.00,carbon_steel,832.51,11.20,0.50,77.66,82.03,62.63,57.08,3025.33,2931.88,TRUE,47.92
387.00,0.50,70.95,21.00,carbon_steel,856.06,5.50,0.33,87.38,71.31,57.98,59.66,2900.55,2893.88,FALSE,
388.00,1.00,64.26,-1.00,stainless_s,906.42,8.30,0.75,82.77,76.14,64.66,53.78,2958.75,2931.88,FALSE,
389.00,0.70,60.24,20.00,carbon_steel,882.41,5.20,0.76,78.86,76.01,56.16,59.24,3122.65,3042.66,TRUE,33.94
390.00,0.40,15.72,80.00,carbon_steel,832.51,7.30,0.57,79.87,70.42,58.60,61.68,3043.99,3069.33,FALSE,
391.00,0.80,35.28,12.00,carbon_steel,886.80,11.80,0.58,72.62,80.18,61.57,56.68,2896.36,2993.02,TRUE,10.24
392.00,0.90,12.93,14.00,carbon_steel,797.48,3.10,0.80,81.14,73.07,56.89,56.16,3117.50,2893.88,TRUE,3.10
393.00,0.60,17.99,4.00,carbon_steel,906.42,7.90,0.42,87.77,71.47,61.08,57.77,2994.98,2897.21,TRUE,2.88
394.00,1.00,44.94,-7.00,stainless_s,883.79,4.50,0.15,78.73,73.86,58.25,56.25,2997.49,3009.50,FALSE,
395.00,0.30,58.90,59.00,carbon_steel,817.59,10.70,0.29,85.40,76.79,59.47,61.68,3007.53,2849.01,TRUE,69.57
396.00,0.40,31.93,-12.00,stainless_s,841.62,11.20,0.33,72.97,81.41,62.22,56.34,2887.36,2772.91,TRUE,31.79
397.00,0.70,78.89,26.00,stainless_s,824.75,9.00,0.98,73.87,80.87,63.24,54.48,3134.08,3030.94,TRUE,9.44
398.00,0.80,18.13,11.00,carbon_steel,835.12,7.20,0.83,75.79,70.79,61.66,61.84,3095.42,2772.91,TRUE,0.33
399.00,0.50,26.96,42.00,carbon_steel,854.53,7.70,0.94,77.52,78.69,60.68,55.37,3025.33,2925.77,TRUE,8.65
400.00,1.00,98.37,-11.00,carbon_steel,883.79,7.80,0.85,72.62,79.21,57.78,61.11,3103.64,3042.66,FALSE,
401.00,0.30,35.43,31.00,stainless_s,816.21,3.20,0.77,83.22,74.25,62.98,61.11,3041.25,2968.12,TRUE,30.92
402.00,0.70,37.80,-16.00,stainless_s,861.56,8.10,0.14,75.23,77.91,60.15,57.24,3000.00,2974.23,FALSE,
